Step Volume Temp Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1374600.00 48031.5352 197.879990 2894.91479 2415.40576 1960.96814 6404.23438 1912.53552 -29.9396248 -8.08784199 269.446838 -191.074615
1374800.00 48031.5352 203.152237 2928.48730 2479.76099 1992.31262 6523.45166 1926.68091 -13.1378288 -8.08784199 269.694885 -190.925354
1375000.00 48031.5352 200.780289 2588.67017 2450.80811 2021.07092 6285.21826 1957.62708 -15.2774258 -8.08784199 269.433899 -190.712723
1375200.00 48031.5352 196.114166 2372.61841 2393.85132 1982.35156 6038.20020 1927.75696 -23.9702187 -8.08784199 269.268097 -190.703232
1375400.00 48031.5352 202.959656 1820.67590 2477.41016 1989.18835 5741.96484 1937.04578 -26.6101418 -8.08784199 269.490265 -190.737564
1375600.00 48031.5352 198.369476 1223.12549 2421.38062 1969.51245 5247.68066 1927.02905 -35.4268913 -8.08784199 268.984985 -191.074890
1375800.00 48031.5352 196.540024 1742.84827 2399.04956 1987.06799 5606.96631 1934.81201 -25.6179790 -8.08784199 268.847198 -190.973282
1376000.00 48031.5352 205.081512 3233.17993 2503.31030 1982.02893 6750.15137 1932.34985 -28.9532089 -8.08784199 269.503571 -190.871323
1376200.00 48031.5352 197.822296 3475.24780 2414.70166 1972.53003 6821.60986 1912.30908 -18.6480217 -8.08784199 269.721161 -190.852203
1376400.00 48031.5352 202.461914 3434.36060 2471.33472 1979.94653 6857.01855 1924.86023 -23.1905422 -8.08784199 269.285095 -191.008194
1376600.00 48031.5352 207.696350 3642.68433 2535.22827 2023.40491 7110.29932 1966.36353 -20.4932785 -8.08784199 268.891632 -191.356995
1376800.00 48031.5352 200.572113 3607.00269 2448.26709 1961.33789 6936.27686 1892.26404 -8.37900257 -8.08784199 268.825500 -191.372635
1377000.00 48031.5352 199.261505 3694.50391 2432.26904 1993.37549 7013.60986 1939.90137 -24.0884247 -8.08784199 268.905365 -191.342865
