Step Volume Temp Press KinEng PotEng E_bond E_angle E_dihed E_impro E_mol E_vdwl E_tail E_coul E_long Enthalpy Density Cella Cellb Cellc CellAlpha CellBeta CellGamma
9400.00000 44516.5977 189.570450 2465.47705 2313.97583 4884.63770 679.938416 836.894043 687.869385 105.795189 2310.49707 -3277.83228 -87.2648697 25544.1836 -19692.2109 8799.27246 1.07069468 28.2477207 38.7988167 40.6197205 89.6820602 90.1846313 90.3478699
9600.00000 43796.1133 222.364075 -574.327393 2714.26880 4477.15381 683.257568 693.033508 338.239471 48.5526772 1763.08325 -3192.77759 -88.7004471 25595.8906 -19689.0430 6824.58740 1.08830845 28.0665207 38.4920082 40.5412369 89.7611542 90.1305466 90.4870987
9800.00000 44066.9609 204.157166 -10850.1445 2492.02759 4658.65332 945.124390 645.369080 480.117584 48.7748413 2119.38599 -3217.20312 -88.1552734 25449.5625 -19693.0918 177.602768 1.08161950 28.1609650 38.5050087 40.6421661 89.8626480 90.1882935 90.6148071
10000.0000 44425.7227 204.797623 -9222.37988 2499.84546 4654.62939 798.202087 665.503967 467.528595 76.8807068 2008.11536 -3225.96948 -87.4433670 25565.8691 -19693.3867 1179.26184 1.07288480 28.2261772 38.7027512 40.6681137 89.7408981 90.2224274 90.2953720
10200.0000 44383.6445 202.655838 3403.95508 2473.70166 4771.71436 822.959656 723.396240 549.547913 66.2725601 2162.17627 -3206.86279 -87.5262680 25509.0547 -19692.6523 9448.76172 1.07390189 28.1163063 38.8965416 40.5847015 90.0196381 90.2464600 90.2633743
10400.0000 44189.8242 201.177734 8164.27100 2455.65918 4710.68115 761.507019 672.340759 508.373199 87.0874100 2029.30835 -3214.03174 -87.9101639 25587.4258 -19692.0195 12427.9131 1.07861221 28.0599232 38.9035301 40.4817085 89.9658585 90.2645950 90.3344879
10600.0000 44057.0742 214.430069 5044.29980 2617.42285 4562.97607 738.042664 635.692993 472.318817 79.1794434 1925.23389 -3231.54443 -88.1750565 25559.8398 -19690.5527 10421.4990 1.08186233 28.0610027 38.8629150 40.4004936 90.0214233 90.1793518 90.3349152
10800.0000 44208.4180 193.403061 -3136.85791 2360.75830 4725.94189 855.170898 634.588196 492.958252 74.9224319 2057.63989 -3210.32397 -87.8731918 25568.3047 -19689.6777 5064.26025 1.07815862 28.1290016 38.9332657 40.3679504 89.9595413 90.1618958 90.2763367
11000.0000 44269.8945 204.977341 -4551.72607 2502.03906 4694.92676 842.783325 672.119385 474.044464 70.4911270 2059.43823 -3232.73071 -87.7511673 25558.8105 -19690.5918 4258.23047 1.07666135 28.1147251 39.0460014 40.3273849 89.9308929 90.1584930 89.9891663
11200.0000 44093.4062 207.732574 1212.64282 2535.67041 4641.07422 771.143250 708.020081 487.400024 74.3816681 2040.94495 -3221.69409 -88.1024017 25511.6953 -19689.8711 7956.54297 1.08097076 28.0803509 39.0143433 40.2483749 90.0500412 90.1396408 89.9623566
11400.0000 44049.5898 196.905457 7213.22510 2403.51025 4687.78076 911.242859 689.922180 444.001770 62.0086327 2107.17554 -3230.47437 -88.1900406 25502.2734 -19691.1934 11725.1973 1.08204615 28.1717644 38.9376793 40.1567955 89.9356766 90.0782242 90.0972672
11600.0000 44336.4648 208.709564 4221.72510 2547.59595 4610.96191 742.970154 690.859314 463.281403 79.0088577 1976.11975 -3238.68481 -87.6194153 25563.8438 -19690.3164 9888.33301 1.07504475 28.2532177 39.0538902 40.1817665 89.9701996 89.9935226 90.0437012
11800.0000 44272.6250 200.872543 -1048.05554 2451.93408 4776.37793 808.798950 729.927429 468.036255 72.4470749 2079.20972 -3225.74634 -87.7457504 25611.9453 -19689.0293 6551.61328 1.07659495 28.2261086 39.0453186 40.1713638 89.9452972 89.8745956 89.9841461
12000.0000 44109.6602 201.678101 -1870.03967 2461.76709 4696.05908 809.304382 672.626526 486.228516 76.6348724 2044.79419 -3220.05249 -88.0699387 25560.8633 -19689.5449 5954.84033 1.08057249 28.1282234 38.9521484 40.2590866 89.9012680 89.8012314 89.8972092
12200.0000 44114.7930 201.696228 151.180832 2461.98828 4642.92969 766.995728 695.860962 477.881775 71.0162811 2011.75476 -3211.05103 -88.0596924 25532.4902 -19690.2656 7202.18311 1.08044672 28.1250191 38.8949547 40.3276215 89.9041138 89.7821808 89.8933716
12400.0000 44227.5664 199.319153 2235.56519 2432.97266 4779.10254 833.505005 787.696594 464.498444 68.4849777 2154.18506 -3201.33350 -87.8351440 25515.8359 -19689.5859 8654.04590 1.07769167 28.2120285 38.8654594 40.3366966 89.8745117 89.7555847 89.9191437
12600.0000 44474.5039 204.276169 946.996460 2493.47998 4718.93506 798.398804 721.471741 474.388702 75.5903473 2069.84961 -3211.38550 -87.3474579 25549.7734 -19689.3047 7826.65137 1.07170808 28.3468857 38.8966713 40.3365173 89.8815155 89.7760315 89.8889847
12800.0000 44345.8750 196.035187 -3134.12158 2392.88721 4729.61865 806.582947 726.065002 468.017914 69.1771851 2069.84302 -3212.80322 -87.6008148 25562.4980 -19689.9199 5095.54688 1.07481658 28.3890495 38.7823677 40.2783012 89.7914200 89.9481201 89.9785004
13000.0000 43937.8594 201.382980 -3781.36401 2458.16455 4768.75732 841.829285 711.085205 472.035156 71.5084381 2096.45801 -3198.51416 -88.4142914 25559.5293 -19688.7168 4803.86670 1.08479762 28.3529625 38.6972771 40.0465660 89.8225937 90.1672592 90.1394424
13200.0000 44200.6992 203.522476 404.446411 2484.28027 4704.53223 775.523804 733.854980 470.256561 73.9815216 2053.61670 -3221.14038 -87.8885422 25562.2402 -19690.1855 7449.52734 1.07834685 28.3734055 38.8599167 40.0903244 89.9022446 90.4421463 90.3934402
13400.0000 44620.8203 201.022736 3610.22900 2453.76758 4712.27051 773.644104 776.444336 448.403961 72.1588898 2070.65137 -3210.93140 -87.0610352 25542.4375 -19689.8867 9515.39062 1.06819379 28.3690186 39.0304794 40.3032799 89.8929749 90.6471405 90.5851364
13600.0000 44475.4180 205.418533 2690.61279 2507.42432 4783.10693 830.000305 711.760376 493.148102 70.3179169 2105.22681 -3157.63306 -87.3456650 25523.8457 -19688.3320 9035.73926 1.07168615 28.2384834 39.0418968 40.3479271 89.9014893 90.7511673 90.7338486
