Step Volume Temp Press KinEng PotEng E_bond E_angle E_dihed E_impro E_mol E_vdwl E_tail E_coul E_long Enthalpy Density Lx Ly Lz
13400.0000 54770.0977 216.423248 734.845154 2641.75244 6180.87793 819.356140 730.626709 483.914001 72.4009857 2106.29785 -2343.19800 -70.9280243 25746.4551 -19328.6777 9409.59961 0.870250165 30.8922768 39.1302185 45.3086739
13600.0000 55042.8867 221.059860 703.173096 2698.34888 6246.57324 777.657471 768.657898 508.246155 86.3263092 2140.88770 -2312.74438 -70.5765152 25744.1348 -19325.7051 9509.38965 0.865937233 30.9434795 39.1950722 45.3837700
13800.0000 54908.9648 220.079056 108.873123 2686.37671 6217.66895 815.514526 744.803284 494.667084 76.8149109 2131.79980 -2323.54370 -70.7486496 25736.1406 -19326.7285 8991.23047 0.868049204 30.9183636 39.1632614 45.3469315
14000.0000 54721.9453 215.321884 -444.168610 2628.30884 6167.29932 813.883728 717.528931 489.615662 79.8076782 2100.83618 -2325.50806 -70.9904404 25720.2559 -19328.2832 8441.13379 0.871015906 30.8832207 39.1187477 45.2953911
14200.0000 54559.4570 222.326462 -367.956604 2713.80957 6178.28516 783.985046 780.153870 487.047302 83.3750534 2134.56128 -2352.38794 -71.2018585 25721.1504 -19325.0391 8599.31348 0.873609960 30.8526230 39.0799904 45.2505150
14400.0000 54391.3867 220.287994 182.716385 2688.92700 6193.08545 795.839417 744.645386 498.453644 79.1305313 2118.06885 -2330.64844 -71.4218750 25732.1406 -19326.4746 9026.95117 0.876309395 30.8209095 39.0398178 45.2040024
14600.0000 54269.7773 218.902710 94.8488388 2672.01758 6132.33447 768.768677 766.614014 479.608429 76.7196884 2091.71069 -2354.79883 -71.5819244 25720.0117 -19324.5879 8879.42188 0.878273070 30.7979221 39.0107002 45.1702843
14800.0000 54104.3516 225.620758 358.909332 2754.02100 6175.01514 760.567078 763.167480 507.767090 83.8257675 2115.32739 -2345.81128 -71.8007812 25728.3926 -19322.8926 9212.23633 0.880958378 30.7665977 38.9710236 45.1243439
15000.0000 54329.8789 212.765259 -576.033325 2597.10156 6223.29980 813.624939 766.614380 529.811768 83.6039047 2193.65503 -2377.33398 -71.5027313 25736.0352 -19329.0566 8363.98438 0.877301514 30.8092880 39.0250969 45.1869545
15200.0000 54215.9336 222.241547 -635.794006 2712.77295 6107.41992 768.559326 755.493896 473.175812 81.2058792 2078.43506 -2371.83716 -71.6530151 25731.2910 -19330.4688 8317.48047 0.879145324 30.7877331 38.9977951 45.1553421
15400.0000 53994.0508 229.286224 -245.987564 2798.76318 6119.88232 786.539612 770.073425 471.641602 75.9057846 2104.16040 -2386.35107 -71.9474564 25728.2598 -19326.1875 8724.94336 0.882758021 30.7456760 38.9445229 45.0936584
15600.0000 53800.1445 223.232361 -210.278900 2724.86719 6081.40576 772.466187 751.190979 476.190979 74.0591965 2073.90723 -2367.98071 -72.2067795 25708.3535 -19332.8730 8641.28418 0.885939717 30.7088261 38.8978462 45.0396118
15800.0000 53998.2188 218.137283 -53.3449364 2662.67456 6105.96680 762.877991 780.182678 502.880188 82.5334854 2128.47437 -2365.19409 -71.9419098 25672.4766 -19329.7910 8726.63184 0.882689893 30.7464676 38.9455261 45.0948181
16000.0000 54149.9219 225.033752 -141.223923 2746.85571 6142.82373 803.917114 758.302856 482.641266 82.7255630 2127.58691 -2376.98633 -71.7403564 25721.9707 -19329.7480 8778.15234 0.880217016 30.7752342 38.9819641 45.1370087
16200.0000 54065.9492 219.263840 -471.098938 2676.42578 6167.02344 762.690552 786.825195 501.778442 83.4132767 2134.70752 -2367.15869 -71.8517838 25725.6641 -19326.1895 8471.98926 0.881584108 30.7593174 38.9618034 45.1136665
16400.0000 53733.6797 218.166016 -233.725494 2663.02539 6203.11426 810.136597 746.350525 512.555664 88.6664124 2157.70923 -2390.02930 -72.2960892 25761.5801 -19326.1465 8682.98047 0.887035549 30.6961765 38.8818245 45.0210571
16600.0000 53357.5703 223.761185 840.514343 2731.32227 6143.98340 791.843323 764.614441 488.221039 77.7534714 2122.43237 -2344.85718 -72.8056946 25693.8398 -19327.4316 9529.36523 0.893288136 30.6243896 38.7908936 44.9157715
16800.0000 53901.7773 218.389008 497.916138 2665.74731 6128.67334 770.410095 749.932739 509.231262 79.9282455 2109.50220 -2393.66382 -72.0706253 25740.7988 -19327.9648 9185.83301 0.884269238 30.7281513 38.9223251 45.0679550
17000.0000 54189.0117 221.553192 -106.250092 2704.37061 6195.33398 806.744568 776.779602 500.112152 75.2544327 2158.89087 -2365.16675 -71.6886063 25731.3359 -19329.7246 8815.73633 0.879582107 30.7826366 38.9913406 45.1478691
17200.0000 53928.7734 220.855423 -543.349060 2695.85352 6177.40576 829.769287 747.318542 486.187653 76.7936096 2140.06909 -2358.02759 -72.0345535 25722.9316 -19327.5684 8445.91699 0.883826613 30.7332802 38.9288216 45.0754776
17400.0000 53889.9570 220.933975 -293.525055 2696.81226 6127.91309 784.243896 750.131714 501.172302 80.1718597 2115.71973 -2373.61475 -72.0864334 25711.5508 -19325.7422 8594.03516 0.884463191 30.7259064 38.9194794 45.0646629
17600.0000 54100.0820 216.875092 577.624451 2647.26782 6153.89502 801.194824 728.285706 496.740540 86.8630905 2113.08423 -2341.69922 -71.8064499 25710.6797 -19328.1699 9256.90527 0.881027937 30.7657890 38.9699974 45.1231575
17800.0000 54502.4375 227.153488 165.121094 2772.73022 6134.55957 776.573364 765.319397 483.759491 79.6575699 2105.30981 -2354.66479 -71.2763519 25711.9609 -19328.0469 9038.53809 0.874523878 30.8418713 39.0663681 45.2347450
18000.0000 54451.3867 216.971954 -460.030090 2648.45020 6161.95410 784.408325 742.262390 509.341736 75.6217422 2111.63428 -2346.80444 -71.3431778 25725.7734 -19328.6484 8445.08594 0.875343800 30.8322392 39.0541687 45.2206154
18200.0000 53905.6836 223.196548 -675.786316 2724.43018 6116.86182 787.400513 752.508911 477.029572 75.6223526 2092.56128 -2358.94824 -72.0654068 25708.8008 -19325.5508 8310.01562 0.884205163 30.7288933 38.9232674 45.0690460
18400.0000 53607.7969 220.730057 693.051025 2694.32324 6117.60645 780.824280 753.546387 476.855377 82.3332138 2093.55908 -2361.20435 -72.4658585 25709.0430 -19323.7910 9353.76758 0.889118493 30.6721859 38.8514366 44.9858742
18600.0000 53839.4688 220.296173 -117.465881 2689.02710 6097.07520 775.865173 757.415161 483.562439 73.5767975 2090.41968 -2389.35522 -72.1540375 25725.9727 -19329.9609 8693.86914 0.885292649 30.7163067 38.9073219 45.0505829
18800.0000 53989.1172 220.716232 105.844879 2694.15430 6161.10986 824.371948 758.055603 473.952240 83.1769867 2139.55688 -2349.97119 -71.9540405 25704.2012 -19332.6777 8938.60449 0.882838786 30.7447395 38.9433365 45.0922852
19000.0000 54137.2188 221.904831 588.504578 2708.66284 6158.89502 794.391479 750.385315 500.025574 79.1882324 2123.99048 -2356.89453 -71.7571945 25719.9668 -19328.1680 9332.20312 0.880423605 30.7728271 38.9789124 45.1334801
19200.0000 54045.8398 219.347672 161.452972 2677.44922 6111.20947 762.429749 770.435913 492.318817 81.4807968 2106.66528 -2377.09619 -71.8785172 25715.3008 -19333.6602 8915.91602 0.881912172 30.7555027 38.9569702 45.1080704
19400.0000 53805.9453 220.765778 -437.215881 2694.75903 6153.02393 794.601990 766.119446 497.828339 83.7071152 2142.25684 -2362.28149 -72.1989899 25702.2305 -19329.1836 8504.69824 0.885844171 30.7099304 38.8992462 45.0412331
19600.0000 53724.8672 221.101318 -182.830811 2698.85498 6148.77051 800.217712 760.395691 498.273834 80.6959305 2139.58301 -2386.51929 -72.3079453 25728.8672 -19333.1602 8704.37305 0.887181044 30.6944962 38.8796959 45.0185966
19800.0000 53624.9961 223.552216 333.862366 2728.77148 6113.47705 798.649902 772.527283 501.247101 84.3443680 2156.76855 -2404.04004 -72.4426117 25690.5801 -19329.8320 9103.35059 0.888833284 30.6754665 38.8555908 44.9906845
20000.0000 53491.4570 218.182175 1029.44287 2663.22266 6107.19531 781.224731 736.600708 507.692932 82.9161148 2108.43457 -2388.31738 -72.6234665 25719.8125 -19332.7324 9573.50488 0.891052306 30.6499825 38.8233109 44.9533043
20200.0000 53485.7695 218.802948 275.779785 2670.80005 6082.23926 773.893433 755.514771 508.272278 80.1518860 2117.83252 -2404.72144 -72.6311874 25701.6250 -19332.4961 8968.15723 0.891147017 30.6488953 38.8219337 44.9517136
20400.0000 53573.8242 222.241653 -187.043762 2712.77441 6122.10742 778.099915 784.765015 491.714478 77.1590958 2131.73828 -2388.49438 -72.5118103 25708.2266 -19329.3633 8688.74023 0.889682293 30.6657066 38.8432274 44.9763680
20600.0000 54029.2188 219.818359 -741.465332 2683.19458 6110.12109 804.576050 758.440857 481.945953 72.1148148 2117.07764 -2363.80762 -71.9006348 25687.3711 -19330.5195 8209.07031 0.882183492 30.7523499 38.9529762 45.1034470
20800.0000 54474.1562 216.864395 -564.269592 2647.13721 6166.98828 806.455688 762.081665 488.973480 77.9685745 2135.47949 -2344.51953 -71.3133545 25706.8164 -19330.7891 8365.84180 0.874977887 30.8365364 39.0596123 45.2269173
21000.0000 54344.3203 224.236053 -606.350708 2737.11890 6147.98926 777.139038 756.808838 515.714478 74.9166412 2124.57910 -2347.82739 -71.4837341 25704.2754 -19333.0371 8404.54102 0.877068341 30.8120174 39.0285568 45.1909599
21200.0000 53750.3164 217.954788 277.060608 2660.44702 6121.13086 767.692749 781.662048 500.285889 80.2355270 2129.87622 -2376.27612 -72.2737122 25702.2930 -19334.7617 8998.76367 0.886761010 30.6993427 38.8858337 45.0257034
21400.0000 53361.0273 220.740646 655.860046 2694.45239 6079.93652 770.953918 751.410095 483.794464 77.2397003 2083.39819 -2394.08496 -72.8009720 25719.9766 -19329.3535 9284.79004 0.893230259 30.6250496 38.7917290 44.9167404
21600.0000 53414.9805 225.044205 710.607788 2746.98340 6121.83447 793.332703 734.112732 510.901367 76.7643433 2115.11108 -2378.69507 -72.7274399 25717.7988 -19332.3809 9422.38379 0.892328024 30.6353683 38.8047981 44.9318733
21800.0000 53850.4258 221.270248 -853.636719 2700.91699 6085.68457 771.773132 750.539429 504.366364 85.5212479 2112.20020 -2395.88940 -72.1393509 25696.8145 -19327.4414 8116.19531 0.885112464 30.7183914 38.9099617 45.0536385
22000.0000 53901.1602 219.372955 -298.007050 2677.75781 6113.68896 775.982727 751.510437 524.146118 77.9820633 2129.62134 -2384.38159 -72.0714493 25696.8750 -19328.4258 8557.18555 0.884279370 30.7280350 38.9221764 45.0677834
22200.0000 53784.8789 222.500504 -472.904724 2715.93408 6180.72314 777.820435 792.468994 506.554535 89.8587494 2166.70264 -2381.73486 -72.2272720 25720.5566 -19324.8027 8525.71191 0.886191189 30.7059212 38.8941689 45.0353508
22400.0000 53592.5664 216.649612 422.395966 2644.51538 6143.01514 791.339783 753.489197 498.648895 82.4793472 2125.95728 -2379.81836 -72.4864502 25724.4043 -19327.5293 9117.67188 0.889371216 30.6692810 38.8477554 44.9816132
22600.0000 53317.0781 222.106766 690.242493 2711.12769 6076.01025 777.048706 735.504028 510.973419 78.5333939 2102.05957 -2403.45337 -72.8609848 25708.1914 -19330.7871 9323.85352 0.893966556 30.6166401 38.7810783 44.9044037
22800.0000 53229.6016 215.004120 -362.522949 2624.42993 6083.65332 765.446594 752.929382 515.223206 74.5708771 2108.17017 -2405.16675 -72.9807205 25706.3770 -19325.7266 8426.65723 0.895435631 30.5998878 38.7598572 44.8798332
