Step Volume Temp Press KinEng PotEng TotEng Enthalpy E_vdwl E_tail E_coul E_long v_lbda v_scale_lj v_scale_coul c_lj c_coul
561400.000 51006.1797 200.351135 1421.98645 2445.56958 2897.14404 5342.71387 6400.49072 -1415.22583 -45.3161812 9233.01367 -6819.17871 0.550000012 0.595000029 0.354025006 -1369.90955 9233.01367
561600.000 51006.1797 201.969681 1503.03271 2465.32617 2895.80420 5361.13037 6479.19531 -1397.77844 -45.3161812 9227.87012 -6819.18018 0.550000012 0.595000029 0.354025006 -1352.46228 9227.87012
561800.000 51006.1797 199.346344 1760.33618 2433.30469 2872.66626 5305.97070 6615.43701 -1382.39758 -45.3161812 9225.14844 -6820.90186 0.550000012 0.595000029 0.354025006 -1337.08142 9225.14844
562000.000 51006.1797 200.789993 2436.40430 2450.92651 2954.17432 5405.10107 7217.47559 -1394.94165 -45.3161812 9235.68262 -6816.61133 0.550000012 0.595000029 0.354025006 -1349.62549 9235.68262
562200.000 51006.1797 200.702164 2127.89062 2449.85425 2923.86523 5373.71973 6956.59961 -1393.47168 -45.3161812 9232.52148 -6819.54590 0.550000012 0.595000029 0.354025006 -1348.15552 9232.52148
562400.000 51006.1797 193.561600 1327.32666 2362.69360 2913.87207 5276.56543 6263.92773 -1400.54932 -45.3161812 9240.55273 -6817.37305 0.550000012 0.595000029 0.354025006 -1355.23315 9240.55273
562600.000 51006.1797 197.885391 1553.88501 2415.47168 2911.66162 5327.13330 6483.02588 -1377.74756 -45.3161812 9220.75684 -6821.56055 0.550000012 0.595000029 0.354025006 -1332.43127 9220.75684
562800.000 51006.1797 203.774734 2566.24780 2487.35938 2896.59839 5383.95752 7292.91992 -1379.51562 -45.3161812 9216.21094 -6820.14746 0.550000012 0.595000029 0.354025006 -1334.19934 9216.21094
563000.000 51006.1797 198.870255 3154.80225 2427.49341 2877.42236 5304.91553 7651.68701 -1399.68127 -45.3161812 9223.76660 -6814.70703 0.550000012 0.595000029 0.354025006 -1354.36511 9223.76660
563200.000 51006.1797 201.033493 2668.57031 2453.89868 2972.95654 5426.85498 7411.93213 -1382.95642 -45.3161812 9230.00781 -6819.36963 0.550000012 0.595000029 0.354025006 -1337.64026 9230.00781
563400.000 51006.1797 199.126495 1575.29712 2430.62109 2924.35962 5354.98047 6526.80127 -1394.01208 -45.3161812 9216.37207 -6823.41797 0.550000012 0.595000029 0.354025006 -1348.69592 9216.37207
563600.000 51006.1797 199.323395 1214.66663 2433.02466 2907.67236 5340.69678 6244.25439 -1413.59204 -45.3161812 9231.15332 -6822.51807 0.550000012 0.595000029 0.354025006 -1368.27600 9231.15332
563800.000 51006.1797 202.770615 1400.62500 2475.10254 2995.27612 5470.37891 6512.26562 -1396.83557 -45.3161812 9235.92871 -6820.14502 0.550000012 0.595000029 0.354025006 -1351.51941 9235.92871
564000.000 51006.1797 202.850677 1325.07349 2476.07983 2943.29541 5419.37549 6405.06152 -1403.51550 -45.3161812 9238.96777 -6817.74902 0.550000012 0.595000029 0.354025006 -1358.19934 9238.96777
