Step Volume Temp Press KinEng PotEng TotEng Enthalpy E_vdwl E_tail E_coul E_long v_lbda v_scale_lj v_scale_coul v_scale_gauss c_lj c_coul c_gauss
660600.000 46478.4727 130.339325 1855.94141 2386.65845 -656.449890 1730.20862 2988.24146 -2710.86377 -13.4636688 295.015625 -220.630127 0.649999976 0.161085397 1.13658374E-02 0.398523122 -306.228210 295.015625 -2391.17188
660800.000 46478.4727 131.583923 1540.46155 2409.44849 -692.433777 1717.01477 2761.20264 -2717.77930 -13.4636688 295.152039 -220.665176 0.649999976 0.161085397 1.13658374E-02 0.398523122 -315.208405 295.152039 -2389.10718
661000.000 46478.4727 132.377167 1819.13306 2423.97363 -733.159058 1690.81470 2923.89746 -2728.73633 -13.4636688 295.126709 -220.714203 0.649999976 0.161085397 1.13658374E-02 0.398523122 -321.551666 295.126709 -2393.72119
661200.000 46478.4727 132.599579 1784.34460 2428.04639 -703.327087 1724.71936 2934.22095 -2723.29639 -13.4636688 295.112793 -220.616821 0.649999976 0.161085397 1.13658374E-02 0.398523122 -319.884521 295.112793 -2389.94824
661400.000 46478.4727 132.138596 2329.87085 2419.60522 -666.669556 1752.93567 3332.21729 -2689.10498 -13.4636688 295.539062 -220.613144 0.649999976 0.161085397 1.13658374E-02 0.398523122 -310.704132 295.539062 -2364.93726
661600.000 46478.4727 134.079025 2144.88794 2455.13672 -684.257141 1770.87952 3224.77222 -2724.29248 -13.4636688 295.229706 -220.731476 0.649999976 0.161085397 1.13658374E-02 0.398523122 -327.268402 295.229706 -2383.56030
661800.000 46478.4727 132.123047 2193.38184 2419.32031 -714.921143 1704.39917 3191.16309 -2693.63306 -13.4636688 295.270844 -220.652344 0.649999976 0.161085397 1.13658374E-02 0.398523122 -308.554047 295.270844 -2371.61548
662000.000 46478.4727 135.986053 2440.49268 2490.05640 -702.369080 1787.68726 3441.95312 -2717.30542 -13.4636688 295.233795 -220.693146 0.649999976 0.161085397 1.13658374E-02 0.398523122 -314.910156 295.233795 -2388.93164
662200.000 46478.4727 133.463013 2903.90796 2443.85669 -750.877136 1692.97974 3661.36719 -2700.05981 -13.4636688 295.246490 -220.691193 0.649999976 0.161085397 1.13658374E-02 0.398523122 -312.775635 295.246490 -2373.82056
662400.000 46478.4727 134.178024 1678.14111 2456.94946 -706.449646 1750.49976 2888.01245 -2722.14600 -13.4636688 295.552734 -220.683487 0.649999976 0.161085397 1.13658374E-02 0.398523122 -319.817230 295.552734 -2388.86523
662600.000 46478.4727 129.124512 752.822754 2364.41406 -723.019897 1641.39404 2151.68799 -2720.71167 -13.4636688 295.155884 -220.728683 0.649999976 0.161085397 1.13658374E-02 0.398523122 -312.461243 295.155884 -2394.78687
662800.000 46478.4727 132.194427 1098.90515 2420.62720 -717.991455 1702.63586 2447.51880 -2704.36011 -13.4636688 295.186798 -220.619781 0.649999976 0.161085397 1.13658374E-02 0.398523122 -307.528992 295.186798 -2383.36719
663000.000 46478.4727 130.193375 2083.39185 2383.98608 -621.573608 1762.41235 3174.62061 -2672.25293 -13.4636688 295.927765 -220.555573 0.649999976 0.161085397 1.13658374E-02 0.398523122 -298.337860 295.927765 -2360.45142
663200.000 46478.4727 137.513992 2240.81909 2518.03467 -651.285522 1866.74915 3385.66797 -2700.22681 -13.4636688 295.203491 -220.668030 0.649999976 0.161085397 1.13658374E-02 0.398523122 -309.289886 295.203491 -2377.47314
663400.000 46478.4727 132.384720 1869.09094 2424.11206 -668.594971 1755.51697 3022.46338 -2714.80615 -13.4636688 295.337891 -220.627213 0.649999976 0.161085397 1.13658374E-02 0.398523122 -322.176270 295.337891 -2379.16626
663600.000 46478.4727 133.743011 2446.84961 2448.98364 -709.166016 1739.81775 3398.39233 -2690.88721 -13.4636688 296.037292 -220.647949 0.649999976 0.161085397 1.13658374E-02 0.398523122 -312.289398 296.037292 -2365.13428
663800.000 46478.4727 134.535126 2338.44971 2463.48828 -659.037537 1804.45068 3389.54761 -2699.31860 -13.4636688 295.433838 -220.675186 0.649999976 0.161085397 1.13658374E-02 0.398523122 -315.773865 295.433838 -2370.08105
664000.000 46478.4727 131.307602 1523.22949 2404.38867 -686.248413 1718.14026 2750.64746 -2720.45996 -13.4636688 295.199829 -220.656830 0.649999976 0.161085397 1.13658374E-02 0.398523122 -323.004852 295.199829 -2383.99146
664200.000 46478.4727 132.925873 1698.77173 2434.02100 -719.059509 1714.96155 2866.45850 -2732.77612 -13.4636688 295.403931 -220.691772 0.649999976 0.161085397 1.13658374E-02 0.398523122 -313.156830 295.403931 -2406.15552
664400.000 46478.4727 132.430923 2322.76709 2424.95825 -768.728638 1656.22961 3230.69629 -2707.80176 -13.4636688 295.287659 -220.626038 0.649999976 0.161085397 1.13658374E-02 0.398523122 -312.192932 295.287659 -2382.14502
664600.000 46478.4727 132.332733 2305.59106 2423.16016 -672.479492 1750.68054 3313.50439 -2710.65674 -13.4636688 295.654388 -220.658539 0.649999976 0.161085397 1.13658374E-02 0.398523122 -318.694824 295.654388 -2378.49829
664800.000 46478.4727 134.229187 2367.19971 2457.88623 -692.562805 1765.32349 3369.90820 -2702.20801 -13.4636688 295.238068 -220.647324 0.649999976 0.161085397 1.13658374E-02 0.398523122 -306.328430 295.238068 -2382.41602
665000.000 46478.4727 131.385162 2328.29907 2405.80884 -751.255310 1654.55359 3232.76978 -2709.29248 -13.4636688 295.467926 -220.662369 0.649999976 0.161085397 1.13658374E-02 0.398523122 -313.141418 295.467926 -2382.68750
665200.000 46478.4727 133.941956 2330.08032 2452.62671 -741.503357 1711.12341 3290.54712 -2718.81958 -13.4636688 295.590271 -220.657516 0.649999976 0.161085397 1.13658374E-02 0.398523122 -310.838959 295.590271 -2394.51685
665400.000 46478.4727 133.354584 2362.13745 2441.87134 -693.618958 1748.25232 3349.40576 -2705.83179 -13.4636688 295.183014 -220.572296 0.649999976 0.161085397 1.13658374E-02 0.398523122 -314.635529 295.183014 -2377.73267
665600.000 46478.4727 135.969055 2037.30457 2489.74536 -635.184509 1854.56079 3235.52905 -2686.96680 -13.4636688 296.052979 -220.615906 0.649999976 0.161085397 1.13658374E-02 0.398523122 -298.484070 296.052979 -2375.01929
665800.000 46478.4727 134.220901 1285.70874 2457.73462 -717.252747 1740.48169 2611.98755 -2710.37085 -13.4636688 295.419250 -220.650589 0.649999976 0.161085397 1.13658374E-02 0.398523122 -312.483612 295.419250 -2384.42358
666000.000 46478.4727 132.829346 1491.07336 2432.25342 -732.809021 1699.44446 2710.15479 -2719.84595 -13.4636688 295.009247 -220.664856 0.649999976 0.161085397 1.13658374E-02 0.398523122 -318.627472 295.009247 -2387.75464
666200.000 46478.4727 134.381165 2525.33472 2460.66919 -739.837524 1720.83154 3432.60669 -2705.98755 -13.4636688 295.332855 -220.624298 0.649999976 0.161085397 1.13658374E-02 0.398523122 -312.003479 295.332855 -2380.52051
666400.000 46478.4727 135.281723 1907.00439 2477.15942 -691.014709 1786.14478 3078.79028 -2707.40918 -13.4636688 295.410248 -220.675934 0.649999976 0.161085397 1.13658374E-02 0.398523122 -314.853699 295.410248 -2379.09180
666600.000 46478.4727 132.198654 1122.05530 2420.70483 -747.979431 1672.72534 2433.30029 -2728.71606 -13.4636688 295.032745 -220.717346 0.649999976 0.161085397 1.13658374E-02 0.398523122 -327.846985 295.032745 -2387.40527
666800.000 46478.4727 132.638916 1971.45154 2428.76660 -674.382812 1754.38367 3090.71411 -2710.85498 -13.4636688 295.570801 -220.655106 0.649999976 0.161085397 1.13658374E-02 0.398523122 -301.307739 295.570801 -2396.08350
667000.000 46478.4727 133.383499 1397.74915 2442.40088 -709.236328 1733.16455 2680.61597 -2696.35352 -13.4636688 295.544769 -220.677063 0.649999976 0.161085397 1.13658374E-02 0.398523122 -313.864166 295.544769 -2369.02563
667200.000 46478.4727 132.840683 1864.50085 2432.46118 -719.043335 1713.41797 2977.25293 -2715.12134 -13.4636688 295.189087 -220.689102 0.649999976 0.161085397 1.13658374E-02 0.398523122 -308.501587 295.189087 -2393.15601
667400.000 46478.4727 136.157944 1852.97131 2493.20410 -705.133362 1788.07080 3044.09058 -2723.45776 -13.4636688 295.328156 -220.660995 0.649999976 0.161085397 1.13658374E-02 0.398523122 -316.444397 295.328156 -2393.54956
667600.000 46478.4727 133.231659 1744.58020 2439.62036 -753.057739 1686.56262 2869.11035 -2713.06201 -13.4636688 295.148468 -220.687607 0.649999976 0.161085397 1.13658374E-02 0.398523122 -319.234497 295.148468 -2380.36377
667800.000 46478.4727 133.028275 2064.65210 2435.89600 -687.146301 1748.74976 3148.25537 -2705.10303 -13.4636688 295.555664 -220.612137 0.649999976 0.161085397 1.13658374E-02 0.398523122 -312.081848 295.555664 -2379.55762
668000.000 46478.4727 133.901886 1407.67432 2451.89282 -729.682434 1722.21045 2676.38940 -2731.04150 -13.4636688 295.347260 -220.673889 0.649999976 0.161085397 1.13658374E-02 0.398523122 -319.482849 295.347260 -2398.09497
668200.000 46478.4727 129.725586 1010.67981 2375.42041 -708.233765 1667.18652 2352.26660 -2726.49902 -13.4636688 294.812164 -220.702164 0.649999976 0.161085397 1.13658374E-02 0.398523122 -312.801270 294.812164 -2400.23413
668400.000 46478.4727 134.888138 2059.37695 2469.95239 -700.033630 1769.91882 3165.84863 -2698.00806 -13.4636688 295.151367 -220.693939 0.649999976 0.161085397 1.13658374E-02 0.398523122 -298.747711 295.151367 -2385.79688
668600.000 46478.4727 132.312714 2015.03503 2422.79321 -707.310974 1715.48242 3081.35547 -2721.04126 -13.4636688 295.069000 -220.679428 0.649999976 0.161085397 1.13658374E-02 0.398523122 -313.457336 295.069000 -2394.12012
668800.000 46478.4727 133.515060 1478.67480 2444.80981 -747.070435 1697.73938 2700.04565 -2701.86938 -13.4636688 295.414368 -220.610413 0.649999976 0.161085397 1.13658374E-02 0.398523122 -311.395844 295.414368 -2377.01001
669000.000 46478.4727 134.417236 2242.04199 2461.32959 -709.294556 1752.03503 3271.78271 -2724.09106 -13.4636688 295.278900 -220.689804 0.649999976 0.161085397 1.13658374E-02 0.398523122 -315.417725 295.278900 -2395.20972
669200.000 46478.4727 133.483856 2561.16162 2444.23828 -745.903748 1698.33459 3434.39478 -2710.26562 -13.4636688 294.714325 -220.678604 0.649999976 0.161085397 1.13658374E-02 0.398523122 -299.811859 294.714325 -2396.99023
669400.000 46478.4727 132.847534 1698.97302 2432.58667 -694.040466 1738.54614 2890.17944 -2700.33008 -13.4636688 294.948639 -220.630844 0.649999976 0.161085397 1.13658374E-02 0.398523122 -314.112579 294.948639 -2372.75391
669600.000 46478.4727 137.072891 1738.65491 2509.95752 -684.969238 1824.98828 3003.51953 -2698.74512 -13.4636688 295.358734 -220.627380 0.649999976 0.161085397 1.13658374E-02 0.398523122 -310.173920 295.358734 -2375.10742
669800.000 46478.4727 133.227463 1575.84131 2439.54346 -702.924438 1736.61902 2804.78857 -2694.41187 -13.4636688 295.192413 -220.563522 0.649999976 0.161085397 1.13658374E-02 0.398523122 -305.001465 295.192413 -2375.94678
670000.000 46478.4727 132.568924 2668.00708 2427.48511 -772.803467 1654.68164 3463.16602 -2721.14380 -13.4636688 295.394165 -220.642990 0.649999976 0.161085397 1.13658374E-02 0.398523122 -308.218018 295.394165 -2399.46216
670200.000 46478.4727 132.108170 2825.27783 2419.04810 -696.842041 1722.20605 3637.29492 -2699.18384 -13.4636688 295.426910 -220.595154 0.649999976 0.161085397 1.13658374E-02 0.398523122 -307.991852 295.426910 -2377.72827
670400.000 46478.4727 134.109131 2154.08716 2455.68799 -692.603149 1763.08472 3223.21289 -2701.48291 -13.4636688 294.776398 -220.648300 0.649999976 0.161085397 1.13658374E-02 0.398523122 -305.750031 294.776398 -2382.26929
670600.000 46478.4727 132.685074 2597.79053 2429.61182 -738.046631 1691.56519 3452.45361 -2697.83398 -13.4636688 295.463287 -220.650925 0.649999976 0.161085397 1.13658374E-02 0.398523122 -315.388336 295.463287 -2368.98193
670800.000 46478.4727 136.407883 2400.75952 2497.78076 -696.970398 1800.81030 3428.14307 -2697.59302 -13.4636688 295.221558 -220.590775 0.649999976 0.161085397 1.13658374E-02 0.398523122 -304.668823 295.221558 -2379.46045
671000.000 46478.4727 132.591141 1711.65906 2427.89185 -703.275391 1724.61646 2884.84888 -2705.87622 -13.4636688 295.138489 -220.710648 0.649999976 0.161085397 1.13658374E-02 0.398523122 -314.934692 295.138489 -2377.47803
671200.000 46478.4727 134.890076 2149.91968 2469.98779 -760.626892 1709.36096 3166.66431 -2717.82520 -13.4636688 295.454987 -220.613724 0.649999976 0.161085397 1.13658374E-02 0.398523122 -318.405334 295.454987 -2385.95605
671400.000 46478.4727 135.535126 1789.03735 2481.79956 -716.612061 1765.18738 2977.87012 -2725.27319 -13.4636688 294.918549 -220.665527 0.649999976 0.161085397 1.13658374E-02 0.398523122 -329.441986 294.918549 -2382.36743
671600.000 46478.4727 132.871902 2527.84253 2433.03296 -707.780762 1725.25208 3438.72705 -2708.67065 -13.4636688 294.982178 -220.701797 0.649999976 0.161085397 1.13658374E-02 0.398523122 -313.736908 294.982178 -2381.47021
